LONCOL,LATCOL,vehicleNum,time,geometry
17,32,2,2007-02-19 06:45:00,"POLYGON ((121.49471421485705 31.25665722560093, 121.49681810666657 31.25665722560093, 121.49681810666657 31.258455867683498, 121.49471421485705 31.258455867683498, 121.49471421485705 31.25665722560093))"
17,32,2,2007-02-19 06:46:00,"POLYGON ((121.49471421485705 31.25665722560093, 121.49681810666657 31.25665722560093, 121.49681810666657 31.258455867683498, 121.49471421485705 31.258455867683498, 121.49471421485705 31.25665722560093))"
18,34,1,2007-02-19 06:47:00,"POLYGON ((121.49681810666657 31.260254509766067, 121.49892199847609 31.260254509766067, 121.49892199847609 31.262053151848637, 121.49681810666657 31.262053151848637, 121.49681810666657 31.260254509766067))"
19,35,1,2007-02-19 06:48:00,"POLYGON ((121.49892199847609 31.262053151848637, 121.5010258902856 31.262053151848637, 121.5010258902856 31.263851793931206, 121.49892199847609 31.263851793931206, 121.49892199847609 31.262053151848637))"
20,35,1,2007-02-19 06:49:00,"POLYGON ((121.5010258902856 31.262053151848637, 121.50312978209513 31.262053151848637, 121.50312978209513 31.263851793931206, 121.5010258902856 31.263851793931206, 121.5010258902856 31.262053151848637))"
21,37,1,2007-02-19 06:50:00,"POLYGON ((121.50312978209513 31.265650436013775, 121.50523367390464 31.265650436013775, 121.50523367390464 31.267449078096345, 121.50312978209513 31.267449078096345, 121.50312978209513 31.265650436013775))"
20,38,1,2007-02-19 06:51:00,"POLYGON ((121.5010258902856 31.267449078096345, 121.50312978209513 31.267449078096345, 121.50312978209513 31.26924772017891, 121.5010258902856 31.26924772017891, 121.5010258902856 31.267449078096345))"
20,38,1,2007-02-19 06:52:00,"POLYGON ((121.5010258902856 31.267449078096345, 121.50312978209513 31.267449078096345, 121.50312978209513 31.26924772017891, 121.5010258902856 31.26924772017891, 121.5010258902856 31.267449078096345))"
21,41,2,2007-02-19 06:53:00,"POLYGON ((121.50312978209513 31.27284500434405, 121.50523367390464 31.27284500434405, 121.50523367390464 31.274643646426618, 121.50312978209513 31.274643646426618, 121.50312978209513 31.27284500434405))"
22,42,1,2007-02-19 06:54:00,"POLYGON ((121.50523367390464 31.274643646426618, 121.50733756571417 31.274643646426618, 121.50733756571417 31.276442288509188, 121.50523367390464 31.276442288509188, 121.50523367390464 31.274643646426618))"
22,42,1,2007-02-19 06:55:00,"POLYGON ((121.50523367390464 31.274643646426618, 121.50733756571417 31.274643646426618, 121.50733756571417 31.276442288509188, 121.50523367390464 31.276442288509188, 121.50523367390464 31.274643646426618))"
25,43,1,2007-02-19 06:56:00,"POLYGON ((121.5115453493332 31.276442288509188, 121.51364924114272 31.276442288509188, 121.51364924114272 31.278240930591757, 121.5115453493332 31.278240930591757, 121.5115453493332 31.276442288509188))"
